"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","biotype"
"Fau",3.49622940885726e-33,0.253621777584792,0.92,0.844,9.68945018370701e-29,"ctrl","Fau","protein_coding"
"Pebp1",6.34328399224978e-33,0.32758232012318,0.8,0.728,1.7579777256121e-28,"ctrl","Pebp1","protein_coding"
"Col5a2",8.30115956883053e-33,0.289257491880676,0.59,0.433,2.30058336290569e-28,"ctrl","Col5a2","protein_coding"
"Tacc2",1.08515774894514e-32,0.274977274324276,0.851,0.769,3.00740618542656e-28,"ctrl","Tacc2","protein_coding"
"Ctsz",1.10329701725397e-32,0.270547699036992,0.688,0.522,3.05767735361766e-28,"ctrl","Ctsz","protein_coding"
"Grk2",1.76341970497474e-32,0.290730041149965,0.467,0.308,4.887141370367e-28,"ctrl","Grk2","protein_coding"
"Col1a1",3.63687772546385e-32,0.395669644203942,0.914,0.857,1.00792429283505e-27,"ctrl","Col1a1","protein_coding"
"Mybpc2",5.14511964159245e-32,-0.308979733565237,0.961,0.974,1.42591845747093e-27,"ctrl","Mybpc2","protein_coding"
"Mfap5",1.09973711220127e-31,0.303163658743694,0.517,0.373,3.04781143275461e-27,"ctrl","Mfap5","protein_coding"
"Hspg2",1.32126887000234e-31,0.322375575090126,0.77,0.66,3.66176454632449e-27,"ctrl","Hspg2","protein_coding"
"Ampd1",1.54889108859927e-31,-0.287470851234414,0.867,0.899,4.29259676294401e-27,"ctrl","Ampd1","protein_coding"
"Vdac1",2.11965523572231e-31,-0.260107298214152,0.885,0.931,5.87441252028081e-27,"ctrl","Vdac1","protein_coding"
"Tcirg1",2.73560298553504e-31,0.266825044088965,0.33,0.2,7.5814501141118e-27,"ctrl","Tcirg1","protein_coding"
"Ptp4a3",4.11051900167693e-31,-0.314141402794705,0.79,0.824,1.13918923612475e-26,"ctrl","Ptp4a3","protein_coding"
"Asph",4.46852690809467e-31,0.266828352754944,0.792,0.705,1.23840754730936e-26,"ctrl","Asph","protein_coding"
"Slc2a4",6.02521314674289e-31,-0.304975790871319,0.742,0.801,1.66982757148833e-26,"ctrl","Slc2a4","protein_coding"
"Naa50",1.11360993151258e-30,0.282758841394973,0.759,0.604,3.08625856419397e-26,"ctrl","Naa50","protein_coding"
"Asb2",2.03643964529736e-30,-0.323335566485251,0.826,0.852,5.64378883297711e-26,"ctrl","Asb2","protein_coding"
"Rpl8",3.6234482436868e-30,0.257857372593365,0.963,0.943,1.00420244625536e-25,"ctrl","Rpl8","protein_coding"
"Ndfip1",3.64509975782048e-30,0.255730915515175,0.651,0.486,1.01020294688237e-25,"ctrl","Ndfip1","protein_coding"
"Unc93b1",4.4486071548462e-30,0.256598165345495,0.428,0.288,1.23288698689408e-25,"ctrl","Unc93b1","protein_coding"
"Suclg1",5.33157484121277e-30,-0.253405822749731,0.723,0.787,1.47759265149371e-25,"ctrl","Suclg1","protein_coding"
"Tppp3",7.39231924984291e-30,0.288663073988285,0.507,0.355,2.04870735690146e-25,"ctrl","Tppp3","protein_coding"
"Gm11225",1.00097686928111e-29,0.312299280566623,0.762,0.62,2.77410729552567e-25,"ctrl","Gm11225","processed_pseudogene"
"Dync1h1",1.40213428160501e-29,0.25066706370325,0.624,0.463,3.88587494804013e-25,"ctrl","Dync1h1","protein_coding"
"Cdc42",1.89671542927784e-29,0.28538302173865,0.823,0.71,5.2565571407006e-25,"ctrl","Cdc42","protein_coding"
"Lmna",6.13950516337399e-29,0.260373758933668,0.706,0.555,1.70150246097747e-24,"ctrl","Lmna","protein_coding"
"Reep5",8.70356296666401e-29,0.305614076024697,0.801,0.675,2.41210544058126e-24,"ctrl","Reep5","protein_coding"
"Cfd",9.27612427513947e-29,0.514512913989707,0.243,0.134,2.57078508161215e-24,"ctrl","Cfd","protein_coding"
"Atp6v1e1",1.14023859194962e-28,0.272823950072252,0.731,0.596,3.16005723372918e-24,"ctrl","Atp6v1e1","protein_coding"
"Meg3",2.2639248186427e-28,0.311511272039871,0.51,0.354,6.27424124238638e-24,"ctrl","Meg3","lncRNA"
"Mgst3",3.27615044192094e-28,-0.279897986700413,0.657,0.726,9.0795233347397e-24,"ctrl","Mgst3","protein_coding"
"Sirpa",5.15879548864184e-28,0.26975523071277,0.464,0.318,1.4297085817222e-23,"ctrl","Sirpa","protein_coding"
"2310040G24Rik",6.54919249472132e-28,-0.302339119311562,0.607,0.654,1.81504320798707e-23,"ctrl","2310040G24Rik","lncRNA"
"H2-Eb1",7.45095913779066e-28,0.350111511996047,0.601,0.47,2.0649588154473e-23,"ctrl","H2-Eb1","protein_coding"
"Nisch",9.48513697666067e-27,0.280591165110494,0.598,0.459,2.62871086171174e-22,"ctrl","Nisch","protein_coding"
"Ube2v1",9.77499006861779e-27,0.299827017767648,0.378,0.263,2.70904074761673e-22,"ctrl","Ube2v1","protein_coding"
"Rpl3l",1.16002493888572e-26,-0.259505394663814,0.763,0.813,3.21489311562787e-22,"ctrl","Rpl3l","protein_coding"
"Hsp90aa1",4.39944545578038e-26,0.307630109891337,0.493,0.34,1.21926231361498e-21,"ctrl","Hsp90aa1","protein_coding"
"Scn4b",4.49396859299363e-26,-0.300817006138221,0.467,0.528,1.24545845586225e-21,"ctrl","Scn4b","protein_coding"
"Ctss",8.12786688360507e-26,0.345335801081248,0.568,0.42,2.25255702812231e-21,"ctrl","Ctss","protein_coding"
"Cyba",1.63364404252638e-25,0.28276285093367,0.572,0.417,4.5274810994576e-21,"ctrl","Cyba","protein_coding"
"Nbl1",1.86142508101987e-25,0.25288118356411,0.431,0.297,5.15875346953847e-21,"ctrl","Nbl1","protein_coding"
"Ifitm3",2.39203918593723e-25,0.301364883389335,0.749,0.626,6.62929739990644e-21,"ctrl","Ifitm3","protein_coding"
"Rpl32",5.44452648459578e-25,-0.268550130669908,0.974,0.981,1.50889606994088e-20,"ctrl","Rpl32","protein_coding"
"Dazap2",7.91063612915794e-25,0.29306466746256,0.622,0.46,2.19235369683483e-20,"ctrl","Dazap2","protein_coding"
"Surf4",1.57210372731013e-24,0.28293312391128,0.693,0.539,4.35692826986729e-20,"ctrl","Surf4","protein_coding"
"Cct7",2.30301701168742e-24,0.267627971308633,0.716,0.565,6.38258134619051e-20,"ctrl","Cct7","protein_coding"
"Mapk3",2.66835662843015e-24,0.259864421446251,0.442,0.303,7.39508356003131e-20,"ctrl","Mapk3","protein_coding"
"Fh1",2.70974992728546e-24,-0.258889556536257,0.681,0.705,7.50980094847893e-20,"ctrl","Fh1","protein_coding"
"Itgb1",3.51255489062068e-24,0.261932785100634,0.73,0.592,9.73469462386615e-20,"ctrl","Itgb1","protein_coding"
"BC005537",1.41569935883916e-23,0.276235861761029,0.646,0.481,3.92346920308686e-19,"ctrl","BC005537","protein_coding"
"Scd1",1.61599935960118e-23,0.380567881012695,0.314,0.203,4.4785806251987e-19,"ctrl","Scd1","protein_coding"
"Ost4",1.61607392612598e-23,-0.293692773829494,0.599,0.612,4.47878727886555e-19,"ctrl","Ost4","protein_coding"
"Akr1a1",4.43994557328421e-23,0.281280472571237,0.769,0.643,1.23048651617999e-18,"ctrl","Akr1a1","protein_coding"
"Sat1",1.07683821002564e-22,0.29133499371175,0.464,0.324,2.98434941526505e-18,"ctrl","Sat1","protein_coding"
"Rps7",1.18185469838292e-22,0.267080195718954,0.535,0.401,3.27539211109842e-18,"ctrl","Rps7","protein_coding"
"H4c8",2.04895051652443e-22,-0.270876432623487,0.206,0.283,5.67846146149581e-18,"ctrl","H4c8","protein_coding"
"Ifi27",2.17694525315496e-22,0.252523650233777,0.525,0.406,6.03318607459364e-18,"ctrl","Ifi27","protein_coding"
"Dbp",3.8625214040126e-22,-0.285745767636634,0.304,0.369,1.07045918190805e-17,"ctrl","Dbp","protein_coding"
"Pf4",4.71518685655316e-22,-0.82099552781242,0.337,0.397,1.30676688542514e-17,"ctrl","Pf4","protein_coding"
"Pfdn5",6.92767425230729e-22,0.274073645896673,0.833,0.769,1.91993564228444e-17,"ctrl","Pfdn5","protein_coding"
"Aqp1",9.03158182762731e-22,-0.291314518827004,0.668,0.691,2.50301258770863e-17,"ctrl","Aqp1","protein_coding"
"Cbr2",9.54069934842512e-22,-0.280704495869722,0.192,0.27,2.64410941742254e-17,"ctrl","Cbr2","protein_coding"
"Mt2",1.15947799395372e-21,0.270997275135591,0.453,0.319,3.21337731244335e-17,"ctrl","Mt2","protein_coding"
"Pcolce",1.92524197263372e-21,0.253479548403414,0.633,0.51,5.33561560295711e-17,"ctrl","Pcolce","protein_coding"
"Mtch1",1.957196985453e-21,0.251161624604746,0.647,0.516,5.42417572548445e-17,"ctrl","Mtch1","protein_coding"
"Ccr5",1.95908997025175e-21,0.38350701965796,0.2,0.119,5.42942194355571e-17,"ctrl","Ccr5","protein_coding"
"Ppp1r1a",1.9997471792426e-21,-0.285859261295581,0.318,0.389,5.54209933255294e-17,"ctrl","Ppp1r1a","protein_coding"
"9530068E07Rik",2.61270579385728e-21,0.258064684142478,0.652,0.505,7.24085283709606e-17,"ctrl","9530068E07Rik","protein_coding"
"Gm11716",2.75720404716808e-21,-0.282393082840572,0.343,0.409,7.64131529632162e-17,"ctrl","Gm11716","lncRNA"
"Ndufaf5",2.89399051718364e-21,-0.294032415764087,0.45,0.494,8.02040531932273e-17,"ctrl","Ndufaf5","protein_coding"
"Gpd1",2.98258672178283e-21,-0.257634109962357,0.728,0.725,8.26594084074894e-17,"ctrl","Gpd1","protein_coding"
"Mlf1",5.49728988125574e-21,-0.251614303710476,0.508,0.558,1.52351891769122e-16,"ctrl","Mlf1","protein_coding"
"Lmcd1",3.83493978568298e-20,0.2632444260076,0.781,0.734,1.06281521220418e-15,"ctrl","Lmcd1","protein_coding"
"Myl9",6.07432394318676e-20,0.266119394265041,0.457,0.339,1.68343813761478e-15,"ctrl","Myl9","protein_coding"
"Hspb6",7.14725824725383e-20,0.436196218042548,0.936,0.965,1.98079115064393e-15,"ctrl","Hspb6","protein_coding"
"Rilpl1",1.77228754102297e-19,-0.253157003349261,0.463,0.498,4.91171769119106e-15,"ctrl","Rilpl1","protein_coding"
"Pdk2",4.53081030683404e-19,-0.27033653521831,0.651,0.661,1.25566876843599e-14,"ctrl","Pdk2","protein_coding"
"Rpl13a",6.18067847078184e-19,0.352233755386214,0.396,0.292,1.71291323139248e-14,"ctrl","Rpl13a","protein_coding"
"Dnajb5",7.47137474216963e-19,-0.260104073648446,0.334,0.383,2.07061679604489e-14,"ctrl","Dnajb5","protein_coding"
"Rps27",1.24300756813116e-18,-0.310612599214799,0.644,0.697,3.44487117431868e-14,"ctrl","Rps27","protein_coding"
"Tuba1a",1.31017491931611e-18,0.255984316298399,0.683,0.569,3.63101877139266e-14,"ctrl","Tuba1a","protein_coding"
"Mn1",3.37071287984857e-17,-0.264068611568015,0.219,0.28,9.34159367521232e-13,"ctrl","Mn1","protein_coding"
"Myh2",3.43361994702101e-17,0.631732219283792,0.854,0.823,9.51593432117403e-13,"ctrl","Myh2","protein_coding"
"Ankrd9",5.43690371269485e-17,-0.256892855312139,0.421,0.46,1.50678349493625e-12,"ctrl","Ankrd9","protein_coding"
"Mbnl1",1.80223020785266e-16,0.263185530497775,0.867,0.776,4.99470079804287e-12,"ctrl","Mbnl1","protein_coding"
"Atp5g2",5.80928652253099e-16,0.33389458061818,0.302,0.223,1.60998566685424e-11,"ctrl","Atp5g2","protein_coding"
"F13a1",2.08827330556816e-15,-0.258340121147356,0.163,0.224,5.78744063905159e-11,"ctrl","F13a1","protein_coding"
"Ssr3",3.03492945261843e-15,0.264271133640667,0.75,0.62,8.41100348498672e-11,"ctrl","Ssr3","protein_coding"
"Snhg12",1.9292521917664e-14,-0.768328665612969,0.136,0.184,5.34672952426141e-10,"ctrl","Snhg12","lncRNA"
"Tcap",3.4567298399152e-14,-0.32056173173723,0.983,0.996,9.57998107834097e-10,"ctrl","Tcap","protein_coding"
"Tmbim6",1.64760565274191e-13,0.280968306744497,0.818,0.701,4.56617430600893e-09,"ctrl","Tmbim6","protein_coding"
"Myl2",2.74424686003766e-13,-0.312728179422148,0.228,0.3,7.60540574790837e-09,"ctrl","Myl2","protein_coding"
"Hbb-bt",1.48111320768821e-10,-0.640924753444821,0.239,0.294,4.10475714378711e-06,"ctrl","Hbb-bt","protein_coding"
"Mpz",1.06745333319757e-08,1.02580947684385,0.241,0.179,0.000295834016762375,"ctrl","Mpz","protein_coding"
"Ccl6",6.43027390279016e-08,-0.541447598136676,0.33,0.352,0.00178208610941926,"ctrl","Ccl6","protein_coding"
"Tug1",1.23138593913701e-06,-0.621915110417805,0.196,0.221,0.034126629917243,"ctrl","Tug1","protein_coding"
"Snhg1",2.16310228345912e-06,-0.573323225416101,0.222,0.23,0.0599482166837859,"ctrl","Snhg1","lncRNA"
"Rpl10",2.44165934860066e-06,-0.35721230239512,0.099,0.136,0.0676681471871188,"ctrl","Rpl10","protein_coding"
"Mrps26",4.05568668681029e-06,-0.306645922147525,0.416,0.399,0.11239930083826,"ctrl","Mrps26","protein_coding"
"Fhl3",5.73334668821293e-06,-0.292171263975373,0.612,0.555,0.158893970117133,"ctrl","Fhl3","protein_coding"
"Bmp2k",2.43167387011759e-05,-0.275954217264273,0.097,0.124,0.67391409636439,"ctrl","Bmp2k","protein_coding"
"Mbp",5.47147257699716e-05,0.349661003021564,0.182,0.143,1,"ctrl","Mbp","protein_coding"
"Fabp5",0.000483943601318534,-0.542569477115314,0.505,0.484,1,"ctrl","Fabp5","protein_coding"
"Hba-a1",0.00130144123401173,-0.477631253159483,0.433,0.369,1,"ctrl","Hba-a1","protein_coding"
"Hba-a2",0.00605385928151021,-0.296590322754028,0.518,0.515,1,"ctrl","Hba-a2","protein_coding"
"Gm42826.1",0,5.89117869567594,1,0.109,0,"yPAP","Gm42826","TEC"
"7SK.1",0,4.53473359451541,0.984,0.021,0,"yPAP","7SK","misc_RNA"
"Tmem38b.1",0,3.65284184576652,0.988,0.415,0,"yPAP","Tmem38b","protein_coding"
"mt-Th.1",0,3.30569571027991,0.988,0.208,0,"yPAP","mt-Th","Mt_tRNA"
"Mettl26.1",0,3.12126921789748,0.993,0.322,0,"yPAP","Mettl26","protein_coding"
"Gm37357.1",0,3.08308586359228,0.981,0.316,0,"yPAP","Gm37357","TEC"
"Ttyh1.1",0,3.04675107401007,0.963,0.025,0,"yPAP","Ttyh1","protein_coding"
"Rn18s-rs5.1",0,2.98771641049357,1,1,0,"yPAP","Rn18s-rs5","rRNA"
"Gm43846.1",0,2.71610722767045,0.924,0.026,0,"yPAP","Gm43846","lncRNA"
"Lars2.1",0,2.70557765800816,0.998,0.865,0,"yPAP","Lars2","protein_coding"
"Rpph1.1",0,2.36521370142568,0.781,0.018,0,"yPAP","Rpph1","ribozyme"
"mt-Ts2.1",0,2.20447660075298,0.923,0.219,0,"yPAP","mt-Ts2","Mt_tRNA"
"AA474408.1",0,2.10076610701045,0.797,0.1,0,"yPAP","AA474408","TEC"
"Vaultrc5.1",0,1.98249738056044,0.835,0.011,0,"yPAP","Vaultrc5","misc_RNA"
"mt-Ta.1",0,1.93981509937392,0.908,0.312,0,"yPAP","mt-Ta","Mt_tRNA"
"Mir6236.1",0,1.86369555582143,0.833,0.162,0,"yPAP","Mir6236","miRNA"
"mt-Tc.1",0,1.79702270540703,0.812,0.079,0,"yPAP","mt-Tc","Mt_tRNA"
"mt-Tn.1",0,1.68865336101952,0.876,0.36,0,"yPAP","mt-Tn","Mt_tRNA"
"Rny1.1",0,1.65828784816426,0.756,0.003,0,"yPAP","Rny1","misc_RNA"
"mt-Tm.1",0,1.57162948876277,0.84,0.263,0,"yPAP","mt-Tm","Mt_tRNA"
"mt-Tv.1",0,1.52164399552259,0.793,0.223,0,"yPAP","mt-Tv","Mt_tRNA"
"Snord118.1",0,1.35709617857747,0.663,0.017,0,"yPAP","Snord118","snoRNA"
"Grip2.1",0,1.12882090047656,0.998,0.95,0,"yPAP","Grip2","protein_coding"
"mt-Ts1.1",0,1.12576451242825,0.638,0.137,0,"yPAP","mt-Ts1","Mt_tRNA"
"mt-Tp.1",0,1.12165543749244,0.626,0.213,0,"yPAP","mt-Tp","Mt_tRNA"
"Snhg4.1",0,1.07229519135168,0.529,0.115,0,"yPAP","Snhg4","lncRNA"
"mt-Tq.1",0,1.0572809845762,0.615,0.129,0,"yPAP","mt-Tq","Mt_tRNA"
"mt-Td.1",0,1.00042818562088,0.583,0.1,0,"yPAP","mt-Td","Mt_tRNA"
"Rny3.1",0,0.94577412478792,0.491,0.002,0,"yPAP","Rny3","misc_RNA"
"Gm24119.1",0,0.928594484320416,0.459,0,0,"yPAP","Gm24119","snoRNA"
"Snora21.1",0,0.918643955446905,0.478,0.002,0,"yPAP","Snora21","snoRNA"
"Gm24451.1",0,0.917080349468923,0.468,0.002,0,"yPAP","Gm24451","snoRNA"
"Gm23201.1",0,0.714243865622243,0.395,0,0,"yPAP","Gm23201","snoRNA"
"Des.1",0,-1.00965227558538,0.991,0.995,0,"yPAP","Des","protein_coding"
"Trdn.1",0,-1.39978155225411,0.798,0.95,0,"yPAP","Trdn","protein_coding"
"Malat1.1",0,-1.5027990919669,0.734,0.968,0,"yPAP","Malat1","lncRNA"
"Gm26387.1",4.98292520965356e-307,0.738560725306723,0.391,0,1.38096789260339e-302,"yPAP","Gm26387","snoRNA"
"Gm22154.1",1.43306983801234e-306,0.759796833048878,0.391,0,3.9716097490674e-302,"yPAP","Gm22154","snoRNA"
"Gm26109.1",5.22036431237268e-303,0.714400392262312,0.388,0,1.44677176553096e-298,"yPAP","Gm26109","snoRNA"
"Snord17.1",7.95017024482201e-301,0.783428394307054,0.387,0.001,2.20331018164997e-296,"yPAP","Snord17","snoRNA"
"Snord35a.1",5.25922795968281e-281,0.655459481918495,0.367,0.001,1.45754243674649e-276,"yPAP","Snord35a","snoRNA"
"Gm24616.1",1.36692077148118e-279,0.694756108391188,0.371,0.005,3.78828422608295e-275,"yPAP","Gm24616","snoRNA"
"Snord104.1",4.17897177557478e-276,0.735133959683675,0.446,0.063,1.15816023788279e-271,"yPAP","Snord104","snoRNA"
"Cox8b.1",7.72630907018402e-273,0.94229063552241,0.987,0.941,2.1412692957108e-268,"yPAP","Cox8b","protein_coding"
"mt-Te.1",1.12131487613615e-271,0.903883628208565,0.544,0.166,3.10761204772374e-267,"yPAP","mt-Te","Mt_tRNA"
"Gm23344.1",1.30075258648286e-268,0.636071132449443,0.352,0,3.6049057181786e-264,"yPAP","Gm23344","snoRNA"
"mt-Tg.1",8.9461845592598e-261,0.747607127263239,0.443,0.068,2.47934558875326e-256,"yPAP","mt-Tg","Mt_tRNA"
"Rmrp.1",8.34748546545336e-258,1.1195900870924,0.342,0.001,2.31342212189574e-253,"yPAP","Rmrp","lncRNA"
"Snord4a.1",1.42329423107929e-256,0.609206452787883,0.338,0,3.94451763201313e-252,"yPAP","Snord4a","snoRNA"
"Eif4a2.1",2.76131954889036e-256,0.990344522962815,0.829,0.771,7.65272099779475e-252,"yPAP","Eif4a2","protein_coding"
"Snora57.1",2.2356855458402e-249,0.65612088821542,0.362,0.02,6.19597892174152e-245,"yPAP","Snora57","snoRNA"
"Gm15564.1",2.36547655817143e-249,0.86567743856365,0.392,0.037,6.55568173331631e-245,"yPAP","Gm15564","lncRNA"
"Selenow.1",1.26912062409228e-238,0.583373623799964,0.995,0.98,3.51724089760934e-234,"yPAP","Selenow","protein_coding"
"Snora15.1",1.63500781595539e-227,0.573198088183784,0.308,0.001,4.53126066113876e-223,"yPAP","Snora15","snoRNA"
"Gm25541.1",8.45634873741546e-227,0.521876585271835,0.307,0.001,2.34359248908732e-222,"yPAP","Gm25541","snRNA"
"Snord13.1",6.84243718822989e-225,0.611790327653251,0.35,0.027,1.89631304234603e-220,"yPAP","Snord13","snoRNA"
"Snora31.1",7.50161007322345e-223,0.560626824779738,0.302,0.001,2.07899621569315e-218,"yPAP","Snora31","snoRNA"
"Gm25835.1",2.24446433224774e-217,0.540194731977791,0.295,0,6.22030845039138e-213,"yPAP","Gm25835","snoRNA"
"Myh3.1",1.29213682605608e-208,-1.43769021829586,0.245,0.581,3.58102799973183e-204,"yPAP","Myh3","protein_coding"
"ENSMUSG00002076596.1",1.24633825317879e-207,0.554420226326291,0.283,0,3.4541018348597e-203,"yPAP","ENSMUSG00002076596","snoRNA"
"Gm25128.1",2.00524729898919e-207,0.497895086965004,0.285,0.001,5.55734236441864e-203,"yPAP","Gm25128","snoRNA"
"Snora69.1",3.9731946554193e-205,0.514103260277362,0.283,0.002,1.1011311668029e-200,"yPAP","Snora69","snoRNA"
"Pbxip1.1",3.06377598501835e-204,-0.771152482632107,0.59,0.845,8.49094876487987e-200,"yPAP","Pbxip1","protein_coding"
"Gm22362.1",3.2509120782592e-204,0.547043632048501,0.279,0,9.00957773368755e-200,"yPAP","Gm22362","snoRNA"
"Snord43.1",3.19554503748974e-202,0.480668930526409,0.277,0,8.85613351689907e-198,"yPAP","Snord43","miRNA"
"n-R5s136.1",1.2928388427279e-200,2.62530890517864,0.275,0,3.5829735687361e-196,"yPAP","n-R5s136","rRNA"
"Snord59a.1",5.01050509761698e-198,0.476306533292041,0.272,0,1.38861138275357e-193,"yPAP","Snord59a","snoRNA"
"Myl4.1",1.27125438911575e-195,-1.6567967639196,0.368,0.654,3.5231544139954e-191,"yPAP","Myl4","protein_coding"
"Atp5e.1",4.77864805649439e-192,0.472632371893015,0.999,0.986,1.32435452237686e-187,"yPAP","Atp5e","protein_coding"
"Gm23639.1",1.5827564506396e-191,0.481651489940247,0.265,0.001,4.38645122730259e-187,"yPAP","Gm23639","snoRNA"
"Gm25291.1",4.18355362301755e-191,0.524767524815875,0.263,0,1.15943005108308e-186,"yPAP","Gm25291","snoRNA"
"Tuba4a.1",5.28485708889658e-191,-0.699788052209986,0.894,0.937,1.4646452936168e-186,"yPAP","Tuba4a","protein_coding"
"Snord32a.1",4.0252697233395e-190,0.463700302656194,0.262,0,1.11556325112631e-185,"yPAP","Snord32a","snoRNA"
"Snord55.1",2.29881297366581e-180,0.445841826809573,0.25,0,6.37093027521743e-176,"yPAP","Snord55","snoRNA"
"ENSMUSG00002075551.1",4.5387034351708e-179,5.13193862599833,0.249,0,1.25785627002324e-174,"yPAP","ENSMUSG00002075551","miRNA"
"Hspb8.1",1.61573679468071e-178,-0.780497068259804,0.817,0.94,4.47785295277811e-174,"yPAP","Hspb8","protein_coding"
"Gm25939.1",3.9298279441723e-177,1.34093910788502,0.247,0,1.08911251644791e-172,"yPAP","Gm25939","snRNA"
"Dancr.1",1.02644966595456e-176,0.531592175990597,0.322,0.046,2.84470260422648e-172,"yPAP","Dancr","lncRNA"
"Snora23.1",5.82837654304545e-175,0.455840292559665,0.244,0,1.61527627513961e-170,"yPAP","Snora23","snoRNA"
"Nexn.1",2.04592536937704e-174,-0.668663259148114,0.692,0.874,5.67007756869153e-170,"yPAP","Nexn","protein_coding"
"Gm23262.1",2.07335797075517e-171,0.460167154912232,0.242,0.001,5.74610428015088e-167,"yPAP","Gm23262","snoRNA"
"Gm23297.1",2.31098225550842e-170,0.439563425001308,0.238,0,6.40465622291603e-166,"yPAP","Gm23297","snoRNA"
"Mustn1.1",4.15039327388036e-170,-0.516886587704494,0.828,0.936,1.1502399919232e-165,"yPAP","Mustn1","protein_coding"
"Mymk.1",1.30235151569584e-168,-0.613157269814704,0.093,0.357,3.60933699059945e-164,"yPAP","Mymk","protein_coding"
"Hspb7.1",4.59388815944332e-167,-0.888923460728064,0.762,0.88,1.27315016450812e-162,"yPAP","Hspb7","protein_coding"
"Eef1a2.1",5.1255651414164e-167,0.67303888757617,0.899,0.839,1.42049912329214e-162,"yPAP","Eef1a2","protein_coding"
"mt-Tl1.1",2.92842366753875e-166,0.558575048550741,0.359,0.084,8.1158333522169e-162,"yPAP","mt-Tl1","Mt_tRNA"
"Tceal7.1",2.32239567645857e-164,-0.742497872733368,0.32,0.654,6.43628737773729e-160,"yPAP","Tceal7","protein_coding"
"H2-K1.1",2.79967897253919e-164,-1.22508889021709,0.691,0.9,7.75903030449512e-160,"yPAP","H2-K1","protein_coding"
"Gm17494.1",7.15715136005962e-164,1.27701041132403,0.336,0.069,1.98353292792692e-159,"yPAP","Gm17494","lncRNA"
"Irf7.1",2.4214973940605e-163,-0.654679755595687,0.136,0.416,6.71093787789928e-159,"yPAP","Irf7","protein_coding"
"Cox7a1.1",4.92500281746742e-160,0.613130166827547,0.958,0.874,1.36491528083292e-155,"yPAP","Cox7a1","protein_coding"
"Snord83b.1",7.79847602966044e-157,0.402003023328053,0.222,0,2.1612696468601e-152,"yPAP","Snord83b","snoRNA"
"Snord87.1",8.27212383807115e-157,0.385946091671237,0.224,0.001,2.29253640048304e-152,"yPAP","Snord87","snoRNA"
"Snord37.1",2.82119661523164e-155,0.380211566171413,0.22,0,7.81866429945297e-151,"yPAP","Snord37","snoRNA"
"Olfr889.1",5.46538372785269e-153,0.477949187398312,0.265,0.027,1.51467644633709e-148,"yPAP","Olfr889","protein_coding"
"Gm25989.1",4.31666815270184e-152,0.401892823163636,0.215,0,1.19632141183979e-147,"yPAP","Gm25989","snoRNA"
"mt-Ti.1",5.54538352185397e-152,0.693080197445939,0.589,0.34,1.53684758924661e-147,"yPAP","mt-Ti","Mt_tRNA"
"Tpt1.1",4.98847315894486e-151,-0.356827667544902,1,0.998,1.38250545126998e-146,"yPAP","Tpt1","protein_coding"
"mt-Tk.1",1.37497298960799e-149,0.437255582394965,0.261,0.027,3.81060014339959e-145,"yPAP","mt-Tk","Mt_tRNA"
"Tnnt2.1",5.61605274698982e-148,-0.664154400555568,0.123,0.379,1.55643285830076e-143,"yPAP","Tnnt2","protein_coding"
"Mybpc1.1",8.06790394192308e-148,-0.502880890127161,0.969,0.984,2.23593889846456e-143,"yPAP","Mybpc1","protein_coding"
"Tnni1.1",4.03688353603327e-146,-1.15156231774307,0.306,0.579,1.11878190317626e-141,"yPAP","Tnni1","protein_coding"
"Gm37144.1",8.39787986380696e-145,0.713338760189068,0.584,0.349,2.32738842545546e-140,"yPAP","Gm37144","TEC"
"Hsp90ab1.1",1.10946963004344e-144,-0.524671597491003,0.953,0.979,3.0747841327024e-140,"yPAP","Hsp90ab1","protein_coding"
"1110038B12Rik.1",1.46568479990322e-142,0.673706025812786,0.482,0.234,4.06199885445178e-138,"yPAP","1110038B12Rik","lncRNA"
"Pabpc1.1",1.48773544115989e-139,-0.735638621393189,0.56,0.828,4.12311000163052e-135,"yPAP","Pabpc1","protein_coding"
"Rnf10.1",1.80198022672538e-137,-0.455631593780517,0.273,0.568,4.9940080003467e-133,"yPAP","Rnf10","protein_coding"
"mt-Tw.1",3.22598098125038e-135,0.484892843516681,0.327,0.085,8.94048369143731e-131,"yPAP","mt-Tw","Mt_tRNA"
"Snord94.1",5.97489916975952e-134,0.349798355752355,0.192,0,1.65588355590715e-129,"yPAP","Snord94","snoRNA"
"Ndufb2.1",3.03027448274577e-133,0.519873986677755,0.935,0.839,8.39810270148163e-129,"yPAP","Ndufb2","protein_coding"
"Gm25394.1",1.66099270311391e-132,0.3478435614728,0.19,0,4.60327517740988e-128,"yPAP","Gm25394","snoRNA"
"Prkag3.1",2.16529267445834e-132,-0.572690300480058,0.32,0.615,6.00089211799385e-128,"yPAP","Prkag3","protein_coding"
"Ptp4a2.1",4.47764047417798e-132,-0.532140248031304,0.844,0.93,1.24093328101369e-127,"yPAP","Ptp4a2","protein_coding"
"Mmp14.1",2.33017468088082e-130,-0.508284616942588,0.099,0.334,6.4578461105931e-126,"yPAP","Mmp14","protein_coding"
"Pabpc4.1",3.12862499907125e-129,-0.510755186118559,0.463,0.748,8.67067132242607e-125,"yPAP","Pabpc4","protein_coding"
